model_count,scenario,method,pair_count,discoveries,decision_density,false_discoveries,fdr,fwer,power,directional_error,materiality_threshold
30,GLOBAL_NULL,BH,435,0,0.0,0,0.0,0.0,0.0,0.0,0.01
30,GLOBAL_NULL,BY,435,0,0.0,0,0.0,0.0,0.0,0.0,0.01
30,GLOBAL_NULL,HOLM,435,0,0.0,0,0.0,0.0,0.0,0.0,0.01
30,ONE_CLEAR_WINNER,NONE,435,29,0.06666666666666667,0,0.0,0.0,1.0,0.0,0.01
30,ONE_CLEAR_WINNER,BH,435,0,0.0,0,0.0,0.0,0.0,0.0,0.01
30,ONE_CLEAR_WINNER,BY,435,0,0.0,0,0.0,0.0,0.0,0.0,0.01
30,ONE_CLEAR_WINNER,HOLM,435,0,0.0,0,0.0,0.0,0.0,0.0,0.01
30,DENSE_NEAR_TIES,NONE,435,3,0.006896551724137931,0,0.0,0.0,0.01,0.0,0.01
30,DENSE_NEAR_TIES,BH,435,0,0.0,0,0.0,0.0,0.0,0.0,0.01
30,DENSE_NEAR_TIES,BY,435,0,0.0,0,0.0,0.0,0.0,0.0,0.01
30,DENSE_NEAR_TIES,HOLM,435,0,0.0,0,0.0,0.0,0.0,0.0,0.01
40,GLOBAL_NULL,NONE,780,0,0.0,0,0.0,0.0,0.0,0.0,0.01
40,GLOBAL_NULL,BH,780,0,0.0,0,0.0,0.0,0.0,0.0,0.01
40,GLOBAL_NULL,BY,780,0,0.0,0,0.0,0.0,0.0,0.0,0.01
40,GLOBAL_NULL,HOLM,780,0,0.0,0,0.0,0.0,0.0,0.0,0.01
40,ONE_CLEAR_WINNER,NONE,780,39,0.05,0,0.0,0.0,1.0,0.0,0.01
40,ONE_CLEAR_WINNER,BH,780,0,0.0,0,0.0,0.0,0.0,0.0,0.01
40,ONE_CLEAR_WINNER,BY,780,0,0.0,0,0.0,0.0,0.0,0.0,0.01
40,ONE_CLEAR_WINNER,HOLM,780,0,0.0,0,0.0,0.0,0.0,0.0,0.01
40,DENSE_NEAR_TIES,NONE,780,9,0.011538461538461539,0,0.0,0.0,0.017045454545454544,0.0,0.01
40,DENSE_NEAR_TIES,BH,780,0,0.0,0,0.0,0.0,0.0,0.0,0.01
40,DENSE_NEAR_TIES,BY,780,0,0.0,0,0.0,0.0,0.0,0.0,0.01
40,DENSE_NEAR_TIES,HOLM,780,0,0.0,0,0.0,0.0,0.0,0.0,0.01
50,GLOBAL_NULL,NONE,1225,0,0.0,0,0.0,0.0,0.0,0.0,0.01
50,GLOBAL_NULL,BH,1225,0,0.0,0,0.0,0.0,0.0,0.0,0.01
50,GLOBAL_NULL,BY,1225,0,0.0,0,0.0,0.0,0.0,0.0,0.01
50,GLOBAL_NULL,HOLM,1225,0,0.0,0,0.0,0.0,0.0,0.0,0.01
50,ONE_CLEAR_WINNER,NONE,1225,49,0.04,0,0.0,0.0,1.0,0.0,0.01
50,ONE_CLEAR_WINNER,BH,1225,0,0.0,0,0.0,0.0,0.0,0.0,0.01
50,ONE_CLEAR_WINNER,BY,1225,0,0.0,0,0.0,0.0,0.0,0.0,0.01
50,ONE_CLEAR_WINNER,HOLM,1225,0,0.0,0,0.0,0.0,0.0,0.0,0.01
50,DENSE_NEAR_TIES,NONE,1225,9,0.007346938775510204,0,0.0,0.0,0.01097560975609756,0.0,0.01
50,DENSE_NEAR_TIES,BH,1225,0,0.0,0,0.0,0.0,0.0,0.0,0.01
50,DENSE_NEAR_TIES,BY,1225,0,0.0,0,0.0,0.0,0.0,0.0,0.01
50,DENSE_NEAR_TIES,HOLM,1225,0,0.0,0,0.0,0.0,0.0,0.0,0.01
