model_count,scenario,method,pair_count,discoveries,decision_density,false_discoveries,fdr,fwer,power,directional_error,materiality_threshold
5,GLOBAL_NULL,NONE,10,0,0.0,0,0.0,0.0,0.0,0.0,0.01
5,GLOBAL_NULL,BH,10,0,0.0,0,0.0,0.0,0.0,0.0,0.01
5,GLOBAL_NULL,BY,10,0,0.0,0,0.0,0.0,0.0,0.0,0.01
5,GLOBAL_NULL,HOLM,10,0,0.0,0,0.0,0.0,0.0,0.0,0.01
5,ONE_CLEAR_WINNER,NONE,10,4,0.4,0,0.0,0.0,1.0,0.0,0.01
5,ONE_CLEAR_WINNER,BH,10,3,0.3,0,0.0,0.0,0.75,0.0,0.01
5,ONE_CLEAR_WINNER,BY,10,0,0.0,0,0.0,0.0,0.0,0.0,0.01
5,ONE_CLEAR_WINNER,HOLM,10,2,0.2,0,0.0,0.0,0.5,0.0,0.01
5,DENSE_NEAR_TIES,NONE,10,1,0.1,0,0.0,0.0,0.1,0.0,0.01
5,DENSE_NEAR_TIES,BH,10,0,0.0,0,0.0,0.0,0.0,0.0,0.01
5,DENSE_NEAR_TIES,BY,10,0,0.0,0,0.0,0.0,0.0,0.0,0.01
5,DENSE_NEAR_TIES,HOLM,10,0,0.0,0,0.0,0.0,0.0,0.0,0.01
10,GLOBAL_NULL,NONE,45,0,0.0,0,0.0,0.0,0.0,0.0,0.01
10,GLOBAL_NULL,BH,45,0,0.0,0,0.0,0.0,0.0,0.0,0.01
10,GLOBAL_NULL,BY,45,0,0.0,0,0.0,0.0,0.0,0.0,0.01
10,GLOBAL_NULL,HOLM,45,0,0.0,0,0.0,0.0,0.0,0.0,0.01
10,ONE_CLEAR_WINNER,NONE,45,9,0.2,0,0.0,0.0,1.0,0.0,0.01
10,ONE_CLEAR_WINNER,BH,45,0,0.0,0,0.0,0.0,0.0,0.0,0.01
10,ONE_CLEAR_WINNER,BY,45,0,0.0,0,0.0,0.0,0.0,0.0,0.01
10,ONE_CLEAR_WINNER,HOLM,45,0,0.0,0,0.0,0.0,0.0,0.0,0.01
10,DENSE_NEAR_TIES,NONE,45,2,0.044444444444444446,0,0.0,0.0,0.05555555555555555,0.0,0.01
10,DENSE_NEAR_TIES,BH,45,0,0.0,0,0.0,0.0,0.0,0.0,0.01
10,DENSE_NEAR_TIES,BY,45,0,0.0,0,0.0,0.0,0.0,0.0,0.01
10,DENSE_NEAR_TIES,HOLM,45,0,0.0,0,0.0,0.0,0.0,0.0,0.01
20,GLOBAL_NULL,NONE,190,0,0.0,0,0.0,0.0,0.0,0.0,0.01
20,GLOBAL_NULL,BH,190,0,0.0,0,0.0,0.0,0.0,0.0,0.01
20,GLOBAL_NULL,BY,190,0,0.0,0,0.0,0.0,0.0,0.0,0.01
20,GLOBAL_NULL,HOLM,190,0,0.0,0,0.0,0.0,0.0,0.0,0.01
20,ONE_CLEAR_WINNER,NONE,190,19,0.1,0,0.0,0.0,1.0,0.0,0.01
20,ONE_CLEAR_WINNER,BH,190,0,0.0,0,0.0,0.0,0.0,0.0,0.01
20,ONE_CLEAR_WINNER,BY,190,0,0.0,0,0.0,0.0,0.0,0.0,0.01
20,ONE_CLEAR_WINNER,HOLM,190,0,0.0,0,0.0,0.0,0.0,0.0,0.01
20,DENSE_NEAR_TIES,NONE,190,3,0.015789473684210527,0,0.0,0.0,0.022058823529411766,0.0,0.01
20,DENSE_NEAR_TIES,BH,190,0,0.0,0,0.0,0.0,0.0,0.0,0.01
20,DENSE_NEAR_TIES,BY,190,0,0.0,0,0.0,0.0,0.0,0.0,0.01
20,DENSE_NEAR_TIES,HOLM,190,0,0.0,0,0.0,0.0,0.0,0.0,0.01
30,GLOBAL_NULL,NONE,435,0,0.0,0,0.0,0.0,0.0,0.0,0.01
