design,items_per_stratum,strata,unique_items,annotators_per_item,adjudication_fraction,primary_labels,adjudication_labels,total_labels,planning_only
pilot,50,4,200,2,0.1,400,20,420,True
pilot,50,4,200,2,0.25,400,50,450,True
pilot,50,4,200,2,0.5,400,100,500,True
pilot,50,4,200,3,0.1,600,20,620,True
pilot,50,4,200,3,0.25,600,50,650,True
pilot,50,4,200,3,0.5,600,100,700,True
minimum_confirmatory,100,4,400,2,0.1,800,40,840,True
minimum_confirmatory,100,4,400,2,0.25,800,100,900,True
minimum_confirmatory,100,4,400,2,0.5,800,200,1000,True
minimum_confirmatory,100,4,400,3,0.1,1200,40,1240,True
minimum_confirmatory,100,4,400,3,0.25,1200,100,1300,True
minimum_confirmatory,100,4,400,3,0.5,1200,200,1400,True
recommended,200,4,800,2,0.1,1600,80,1680,True
recommended,200,4,800,2,0.25,1600,200,1800,True
recommended,200,4,800,2,0.5,1600,400,2000,True
recommended,200,4,800,3,0.1,2400,80,2480,True
recommended,200,4,800,3,0.25,2400,200,2600,True
recommended,200,4,800,3,0.5,2400,400,2800,True
high_precision,400,4,1600,2,0.1,3200,160,3360,True
high_precision,400,4,1600,2,0.25,3200,400,3600,True
high_precision,400,4,1600,2,0.5,3200,800,4000,True
high_precision,400,4,1600,3,0.1,4800,160,4960,True
high_precision,400,4,1600,3,0.25,4800,400,5200,True
high_precision,400,4,1600,3,0.5,4800,800,5600,True
