model_a,model_b,mean_difference,confidence_lower,confidence_upper,materiality_threshold,decision
01-ai/yi-34b,01-ai/yi-6b,0.12194472505891579,0.10637565889608482,0.1370489341136128,0.01,A > B
01-ai/yi-34b,01-ai/yi-large-preview,-0.03112700020729627,-0.04953885496881386,-0.015403220445597816,0.01,B > A
01-ai/yi-34b,allenai/olmo-1.7-7b,0.22429771763506115,0.2030813059467545,0.24576477975914648,0.01,A > B
01-ai/yi-34b,allenai/olmo-7b,0.4679912093847895,0.42591529313093823,0.5121446950299385,0.01,A > B
01-ai/yi-34b,databricks/dbrx-instruct,0.021067994409175127,0.009031687962512766,0.033962525531213685,0.01,INSUFFICIENT_EVIDENCE
01-ai/yi-34b,deepseek-ai/deepseek-llm-67b-chat,0.03701189647207314,0.02462717941671254,0.05011819960296715,0.01,A > B
01-ai/yi-34b,deepseek-ai/deepseek-v3,-0.10941662502779456,-0.1348821739721536,-0.08413499737033826,0.01,B > A
01-ai/yi-34b,google/gemma-2-27b,0.004784491942464711,-0.008936028279600045,0.022330473351401498,0.01,INSUFFICIENT_EVIDENCE
01-ai/yi-34b,google/gemma-2-9b,0.04066659327118387,0.026693292352341576,0.05768056984727379,0.01,A > B
01-ai/yi-34b,google/gemma-7b,0.1006834442617195,0.08490313595291706,0.11724374397309707,0.01,A > B
01-ai/yi-34b,meta/llama-2-13b,0.20796336953560945,0.18863302492332606,0.22874132711712522,0.01,A > B
01-ai/yi-34b,meta/llama-2-70b,0.06668844209731489,0.05223445499854791,0.08233459387873293,0.01,A > B
01-ai/yi-34b,meta/llama-2-7b,0.3044406689093672,0.2802958415462188,0.3285852401707947,0.01,A > B
01-ai/yi-34b,meta/llama-3-70b,-0.0312479366986673,-0.04351258091809124,-0.01772182491669554,0.01,B > A
01-ai/yi-34b,meta/llama-3-8b,0.09458501504456783,0.07945085601942731,0.11240457541864435,0.01,A > B
01-ai/yi-34b,meta/llama-3.1-405b-instruct-turbo,-0.08287330108084925,-0.10450549292168868,-0.06295609176869893,0.01,B > A
01-ai/yi-34b,meta/llama-3.1-70b-instruct-turbo,-0.039026029188772876,-0.055125017046871935,-0.023233791102907585,0.01,B > A
01-ai/yi-34b,meta/llama-3.1-8b-instruct-turbo,0.20171993323788515,0.1758810873824477,0.2308398142154667,0.01,A > B
01-ai/yi-34b,meta/llama-3.2-11b-vision-instruct-turbo,0.19725139197285552,0.1703950099150008,0.2251914702147783,0.01,A > B
01-ai/yi-34b,meta/llama-3.2-90b-vision-instruct-turbo,-0.04068955838393502,-0.056628746030661335,-0.025615632720639575,0.01,B > A
01-ai/yi-34b,meta/llama-3.3-70b-instruct-turbo,-0.028655005598575003,-0.04272846873163819,-0.015630761681776063,0.01,B > A
01-ai/yi-34b,microsoft/phi-2,0.17780238636334245,0.15626731553111015,0.19626951635618287,0.01,A > B
01-ai/yi-34b,microsoft/phi-3-medium-4k-instruct,-0.012316984678063018,-0.025535499431488078,0.0004519660021046631,0.01,INSUFFICIENT_EVIDENCE
01-ai/yi-34b,microsoft/phi-3-small-8k-instruct,0.00554012037558107,-0.008742293553224456,0.019240682203711952,0.01,INSUFFICIENT_EVIDENCE
01-ai/yi-34b,mistralai/mistral-7b-instruct-v0.3,0.1631420659134925,0.148389296915084,0.17889501149317197,0.01,A > B
01-ai/yi-34b,mistralai/mistral-7b-v0.1,0.19602199786114938,0.17916662544789974,0.21460384367369953,0.01,A > B
01-ai/yi-34b,mistralai/mixtral-8x22b,-0.016246962348417847,-0.02937140504277401,-0.0035771800581044172,0.01,INSUFFICIENT_EVIDENCE
01-ai/yi-34b,mistralai/mixtral-8x7b-32kseqlen,0.044718867104316544,0.03062526668946255,0.05813645574613486,0.01,A > B
01-ai/yi-34b,mistralai/open-mistral-nemo-2407,0.10855499358101978,0.09118291430593428,0.12978473006314975,0.01,A > B
01-ai/yi-34b,qwen/qwen1.5-110b-chat,-0.005361341351661579,-0.021429851723690222,0.00966667961864266,0.01,INSUFFICIENT_EVIDENCE
01-ai/yi-34b,qwen/qwen1.5-14b,0.07549673607093947,0.0596789124015132,0.09046981142612114,0.01,A > B
01-ai/yi-34b,qwen/qwen1.5-32b,0.01755668534058584,0.0055178841743274585,0.029092738931452495,0.01,INSUFFICIENT_EVIDENCE
01-ai/yi-34b,qwen/qwen1.5-72b,-0.011622850913271442,-0.023700009208218187,-0.0010112425175410806,0.01,INSUFFICIENT_EVIDENCE
01-ai/yi-34b,qwen/qwen1.5-7b,0.1360810961442978,0.11970779201560959,0.15241561835032108,0.01,A > B
01-ai/yi-34b,qwen/qwen2-72b-instruct,-0.06130788199034472,-0.0796242812834955,-0.045268103875514276,0.01,B > A
01-ai/yi-34b,qwen/qwen2.5-72b-instruct-turbo,-0.07150385677601132,-0.0924641268452286,-0.052561135832859096,0.01,B > A
01-ai/yi-34b,qwen/qwen2.5-7b-instruct-turbo,0.03326012474532299,0.016751977582291834,0.04869309898286724,0.01,A > B
01-ai/yi-34b,snowflake/snowflake-arctic-instruct,0.08536596351631667,0.07031384712112435,0.10161973466909191,0.01,A > B
01-ai/yi-6b,01-ai/yi-large-preview,-0.15307172526621207,-0.1770887806204267,-0.13107486421972986,0.01,B > A
01-ai/yi-6b,allenai/olmo-1.7-7b,0.1023529925761454,0.08084510007212756,0.12274267639714502,0.01,A > B
01-ai/yi-6b,allenai/olmo-7b,0.34604648432587376,0.2993494120935096,0.39512254979420264,0.01,A > B
01-ai/yi-6b,databricks/dbrx-instruct,-0.10087673064974066,-0.1169893430868106,-0.08579666073317567,0.01,B > A
01-ai/yi-6b,deepseek-ai/deepseek-llm-67b-chat,-0.08493282858684265,-0.10097616031539379,-0.06822180345317728,0.01,B > A
01-ai/yi-6b,deepseek-ai/deepseek-v3,-0.23136135008671038,-0.2609770492312667,-0.1994918616608425,0.01,B > A
01-ai/yi-6b,google/gemma-2-27b,-0.11716023311645109,-0.13417649327234424,-0.10036861498936436,0.01,B > A
01-ai/yi-6b,google/gemma-2-9b,-0.08127813178773192,-0.09533811840499506,-0.06800099296667984,0.01,B > A
01-ai/yi-6b,google/gemma-7b,-0.021261280797196292,-0.03565311059279769,-0.004784198185202785,0.01,INSUFFICIENT_EVIDENCE
01-ai/yi-6b,meta/llama-2-13b,0.08601864447669365,0.06970828905748369,0.10273207167351354,0.01,A > B
01-ai/yi-6b,meta/llama-2-70b,-0.055256282961600914,-0.0714097757049819,-0.03943731226456917,0.01,B > A
01-ai/yi-6b,meta/llama-2-7b,0.18249594385045143,0.1581354330240746,0.2062564326440793,0.01,A > B
01-ai/yi-6b,meta/llama-3-70b,-0.1531926617575831,-0.1732801420041074,-0.13367367386684315,0.01,B > A
01-ai/yi-6b,meta/llama-3-8b,-0.02735971001434798,-0.041910502163401905,-0.011419876567140629,0.01,B > A
01-ai/yi-6b,meta/llama-3.1-405b-instruct-turbo,-0.20481802613976505,-0.23257507660901397,-0.17647932841085676,0.01,B > A
01-ai/yi-6b,meta/llama-3.1-70b-instruct-turbo,-0.16097075424768867,-0.18318176934486688,-0.13801487615554092,0.01,B > A
01-ai/yi-6b,meta/llama-3.1-8b-instruct-turbo,0.07977520817896938,0.055693915755460136,0.1064861105130075,0.01,A > B
01-ai/yi-6b,meta/llama-3.2-11b-vision-instruct-turbo,0.0753066669139397,0.049341501283461764,0.10290934178687182,0.01,A > B
01-ai/yi-6b,meta/llama-3.2-90b-vision-instruct-turbo,-0.1626342834428508,-0.18427413748390245,-0.13894170217718652,0.01,B > A
