dimension,value,model_count,subject_count,item_count,rank_spearman_with_full
model_count,5.0,5,57,14042,0.9999999999999999
model_count,10.0,10,57,14042,0.9999999999999999
model_count,20.0,20,57,14042,1.0
model_count,30.0,30,57,14042,1.0
model_count,39.0,39,57,14042,1.0
subject_count,5.0,39,5,615,0.9759578995946434
subject_count,10.0,39,10,2213,0.9819838056680162
subject_count,20.0,39,20,6525,0.9931174089068826
subject_count,40.0,39,40,10759,0.9995951417004049
subject_count,57.0,39,57,14042,1.0
item_count,250.0,39,52,250,0.972962150035214
item_count,500.0,39,57,500,0.9926594052150709
item_count,1000.0,39,57,1000,0.995394505045214
item_count,2500.0,39,57,2500,0.9943319838056679
item_count,5000.0,39,57,5000,0.9981781376518217
item_count,10000.0,39,57,10000,0.9991396338520752
item_count,14042.0,39,57,14042,1.0
random_item_removal,0.01,39,57,13902,0.9999493914319371
random_item_removal,0.05,39,57,13340,0.9981781376518217
random_item_removal,0.1,39,57,12638,0.9987854251012147
random_item_removal,0.2,39,57,11234,0.9983805668016195
random_item_removal,0.4,39,57,8425,0.9993927125506072
