method,observed_median_rank_range,observed_maximum_rank_range,observed_kendalls_w,median_rank_range_exceedance,maximum_rank_range_exceedance,kendalls_w_lower_tail,simulations
ADD_ABILITY_SUBJECT,18.5,29.0,0.8780649053860935,0.21890547263681592,0.11940298507462686,0.004975124378109453,200
EMPIRICAL_BAYES_ADDITIVE,18.5,29.0,0.8780649053860935,0.07960199004975124,0.11442786069651742,0.004975124378109453,200
FAMILY_CORRELATED_NULL,18.5,29.0,0.8780649053860935,0.9950248756218906,0.8855721393034826,1.0,200
FIXED_MARGIN_PERMUTATION,18.5,29.0,0.8780649053860935,0.014925373134328358,0.06467661691542288,0.004975124378109453,200
LATENT_FACTOR_NULL,18.5,29.0,0.8780649053860935,1.0,0.7611940298507462,0.9900497512437811,200
MODEL_SUBJECT_RANDOM_EFFECT_NULL,18.5,29.0,0.8780649053860935,0.03980099502487562,0.08955223880597014,0.004975124378109453,200
SUBJECT_SIZE_ONLY,18.5,29.0,0.8780649053860935,0.009950248756218905,0.04477611940298507,0.004975124378109453,200
