model_id,k,probability
01-ai/yi-34b,1,0.0
01-ai/yi-34b,3,0.0
01-ai/yi-34b,5,0.0
01-ai/yi-34b,10,0.0
01-ai/yi-6b,1,0.0
01-ai/yi-6b,3,0.0
01-ai/yi-6b,5,0.0
01-ai/yi-6b,10,0.0
01-ai/yi-large-preview,1,0.0
01-ai/yi-large-preview,3,0.0
01-ai/yi-large-preview,5,0.074
01-ai/yi-large-preview,10,0.992
allenai/olmo-1.7-7b,1,0.0
allenai/olmo-1.7-7b,3,0.0
allenai/olmo-1.7-7b,5,0.0
allenai/olmo-1.7-7b,10,0.0
allenai/olmo-7b,1,0.0
allenai/olmo-7b,3,0.0
allenai/olmo-7b,5,0.0
allenai/olmo-7b,10,0.0
databricks/dbrx-instruct,1,0.0
databricks/dbrx-instruct,3,0.0
databricks/dbrx-instruct,5,0.0
databricks/dbrx-instruct,10,0.0
deepseek-ai/deepseek-llm-67b-chat,1,0.0
deepseek-ai/deepseek-llm-67b-chat,3,0.0
deepseek-ai/deepseek-llm-67b-chat,5,0.0
deepseek-ai/deepseek-llm-67b-chat,10,0.0
deepseek-ai/deepseek-v3,1,1.0
deepseek-ai/deepseek-v3,3,1.0
deepseek-ai/deepseek-v3,5,1.0
deepseek-ai/deepseek-v3,10,1.0
google/gemma-2-27b,1,0.0
google/gemma-2-27b,3,0.0
google/gemma-2-27b,5,0.0
google/gemma-2-27b,10,0.0
google/gemma-2-9b,1,0.0
google/gemma-2-9b,3,0.0
google/gemma-2-9b,5,0.0
google/gemma-2-9b,10,0.0
google/gemma-7b,1,0.0
google/gemma-7b,3,0.0
google/gemma-7b,5,0.0
google/gemma-7b,10,0.0
meta/llama-2-13b,1,0.0
meta/llama-2-13b,3,0.0
meta/llama-2-13b,5,0.0
meta/llama-2-13b,10,0.0
meta/llama-2-70b,1,0.0
meta/llama-2-70b,3,0.0
meta/llama-2-70b,5,0.0
meta/llama-2-70b,10,0.0
meta/llama-2-7b,1,0.0
meta/llama-2-7b,3,0.0
meta/llama-2-7b,5,0.0
meta/llama-2-7b,10,0.0
meta/llama-3-70b,1,0.0
meta/llama-3-70b,3,0.0
meta/llama-3-70b,5,0.06
meta/llama-3-70b,10,1.0
meta/llama-3-8b,1,0.0
meta/llama-3-8b,3,0.0
meta/llama-3-8b,5,0.0
meta/llama-3-8b,10,0.0
meta/llama-3.1-405b-instruct-turbo,1,0.0
meta/llama-3.1-405b-instruct-turbo,3,1.0
meta/llama-3.1-405b-instruct-turbo,5,1.0
meta/llama-3.1-405b-instruct-turbo,10,1.0
meta/llama-3.1-70b-instruct-turbo,1,0.0
meta/llama-3.1-70b-instruct-turbo,3,0.0
meta/llama-3.1-70b-instruct-turbo,5,0.182
meta/llama-3.1-70b-instruct-turbo,10,1.0
meta/llama-3.1-8b-instruct-turbo,1,0.0
meta/llama-3.1-8b-instruct-turbo,3,0.0
meta/llama-3.1-8b-instruct-turbo,5,0.0
meta/llama-3.1-8b-instruct-turbo,10,0.0
meta/llama-3.2-11b-vision-instruct-turbo,1,0.0
meta/llama-3.2-11b-vision-instruct-turbo,3,0.0
meta/llama-3.2-11b-vision-instruct-turbo,5,0.0
meta/llama-3.2-11b-vision-instruct-turbo,10,0.0
meta/llama-3.2-90b-vision-instruct-turbo,1,0.0
meta/llama-3.2-90b-vision-instruct-turbo,3,0.0
meta/llama-3.2-90b-vision-instruct-turbo,5,0.684
meta/llama-3.2-90b-vision-instruct-turbo,10,1.0
meta/llama-3.3-70b-instruct-turbo,1,0.0
meta/llama-3.3-70b-instruct-turbo,3,0.0
meta/llama-3.3-70b-instruct-turbo,5,0.0
meta/llama-3.3-70b-instruct-turbo,10,0.996
microsoft/phi-2,1,0.0
microsoft/phi-2,3,0.0
microsoft/phi-2,5,0.0
microsoft/phi-2,10,0.0
microsoft/phi-3-medium-4k-instruct,1,0.0
microsoft/phi-3-medium-4k-instruct,3,0.0
microsoft/phi-3-medium-4k-instruct,5,0.0
microsoft/phi-3-medium-4k-instruct,10,0.206
microsoft/phi-3-small-8k-instruct,1,0.0
microsoft/phi-3-small-8k-instruct,3,0.0
microsoft/phi-3-small-8k-instruct,5,0.0
microsoft/phi-3-small-8k-instruct,10,0.0
mistralai/mistral-7b-instruct-v0.3,1,0.0
mistralai/mistral-7b-instruct-v0.3,3,0.0
mistralai/mistral-7b-instruct-v0.3,5,0.0
mistralai/mistral-7b-instruct-v0.3,10,0.0
mistralai/mistral-7b-v0.1,1,0.0
mistralai/mistral-7b-v0.1,3,0.0
mistralai/mistral-7b-v0.1,5,0.0
mistralai/mistral-7b-v0.1,10,0.0
mistralai/mixtral-8x22b,1,0.0
mistralai/mixtral-8x22b,3,0.0
mistralai/mixtral-8x22b,5,0.0
mistralai/mixtral-8x22b,10,0.6
mistralai/mixtral-8x7b-32kseqlen,1,0.0
mistralai/mixtral-8x7b-32kseqlen,3,0.0
mistralai/mixtral-8x7b-32kseqlen,5,0.0
mistralai/mixtral-8x7b-32kseqlen,10,0.0
mistralai/open-mistral-nemo-2407,1,0.0
mistralai/open-mistral-nemo-2407,3,0.0
mistralai/open-mistral-nemo-2407,5,0.0
mistralai/open-mistral-nemo-2407,10,0.0
qwen/qwen1.5-110b-chat,1,0.0
qwen/qwen1.5-110b-chat,3,0.0
qwen/qwen1.5-110b-chat,5,0.0
qwen/qwen1.5-110b-chat,10,0.032
qwen/qwen1.5-14b,1,0.0
qwen/qwen1.5-14b,3,0.0
qwen/qwen1.5-14b,5,0.0
qwen/qwen1.5-14b,10,0.0
qwen/qwen1.5-32b,1,0.0
qwen/qwen1.5-32b,3,0.0
qwen/qwen1.5-32b,5,0.0
qwen/qwen1.5-32b,10,0.0
qwen/qwen1.5-72b,1,0.0
qwen/qwen1.5-72b,3,0.0
qwen/qwen1.5-72b,5,0.0
qwen/qwen1.5-72b,10,0.174
qwen/qwen1.5-7b,1,0.0
qwen/qwen1.5-7b,3,0.0
qwen/qwen1.5-7b,5,0.0
qwen/qwen1.5-7b,10,0.0
qwen/qwen2-72b-instruct,1,0.0
qwen/qwen2-72b-instruct,3,0.008
qwen/qwen2-72b-instruct,5,1.0
qwen/qwen2-72b-instruct,10,1.0
qwen/qwen2.5-72b-instruct-turbo,1,0.0
qwen/qwen2.5-72b-instruct-turbo,3,0.992
qwen/qwen2.5-72b-instruct-turbo,5,1.0
qwen/qwen2.5-72b-instruct-turbo,10,1.0
qwen/qwen2.5-7b-instruct-turbo,1,0.0
qwen/qwen2.5-7b-instruct-turbo,3,0.0
qwen/qwen2.5-7b-instruct-turbo,5,0.0
qwen/qwen2.5-7b-instruct-turbo,10,0.0
snowflake/snowflake-arctic-instruct,1,0.0
snowflake/snowflake-arctic-instruct,3,0.0
snowflake/snowflake-arctic-instruct,5,0.0
snowflake/snowflake-arctic-instruct,10,0.0
