model_id,accuracy,family,rank,rank_delta_vs_aggregate
01-ai/yi-34b,0.7623282062667586,accuracy_only,14.0,
01-ai/yi-6b,0.6400594608704305,accuracy_only,29.0,
01-ai/yi-large-preview,0.7932309410233614,accuracy_only,8.0,
allenai/olmo-1.7-7b,0.5376719988127453,accuracy_only,37.0,
allenai/olmo-7b,0.29465169640967404,accuracy_only,39.0,
databricks/dbrx-instruct,0.7410120567563484,accuracy_only,18.0,
deepseek-ai/deepseek-llm-67b-chat,0.7250420554520748,accuracy_only,20.0,
deepseek-ai/deepseek-v3,0.8720324162906944,accuracy_only,1.0,
google/gemma-2-27b,0.757043394397764,accuracy_only,15.0,
google/gemma-2-9b,0.7213434388300994,accuracy_only,21.0,
google/gemma-7b,0.6611956672419421,accuracy_only,27.0,
meta/llama-2-13b,0.5541548609350063,accuracy_only,36.0,
meta/llama-2-70b,0.6954627064646922,accuracy_only,23.0,
meta/llama-2-7b,0.45810892943586223,accuracy_only,38.0,
meta/llama-3-70b,0.7933654187607485,accuracy_only,7.0,
meta/llama-3-8b,0.667636804678058,accuracy_only,26.0,
meta/llama-3.1-405b-instruct-turbo,0.845317495817485,accuracy_only,2.0,
meta/llama-3.1-70b-instruct-turbo,0.8010355128348474,accuracy_only,6.0,
meta/llama-3.1-8b-instruct-turbo,0.5606310290011184,accuracy_only,35.0,
meta/llama-3.2-11b-vision-instruct-turbo,0.5650818312394076,accuracy_only,34.0,
meta/llama-3.2-90b-vision-instruct-turbo,0.8026595003973722,accuracy_only,5.0,
meta/llama-3.3-70b-instruct-turbo,0.7906027613026751,accuracy_only,9.0,
microsoft/phi-2,0.5842493973299886,accuracy_only,32.0,
microsoft/phi-3-medium-4k-instruct,0.774517567943956,accuracy_only,11.0,
microsoft/phi-3-small-8k-instruct,0.7567775597029732,accuracy_only,16.0,
mistralai/mistral-7b-instruct-v0.3,0.5991250371958482,accuracy_only,31.0,
mistralai/mistral-7b-v0.1,0.5657513230766066,accuracy_only,33.0,
mistralai/mixtral-8x22b,0.7781994679340386,accuracy_only,10.0,
mistralai/mixtral-8x7b-32kseqlen,0.7172533474856092,accuracy_only,22.0,
mistralai/open-mistral-nemo-2407,0.6532946316803782,accuracy_only,28.0,
qwen/qwen1.5-110b-chat,0.767842526875325,accuracy_only,13.0,
qwen/qwen1.5-14b,0.6864380513233806,accuracy_only,24.0,
qwen/qwen1.5-32b,0.7443285147738199,accuracy_only,17.0,
qwen/qwen1.5-72b,0.7739168514623905,accuracy_only,12.0,
qwen/qwen1.5-7b,0.6257777441280397,accuracy_only,30.0,
qwen/qwen2-72b-instruct,0.8235031827495977,accuracy_only,4.0,
qwen/qwen2.5-72b-instruct-turbo,0.8337220858502316,accuracy_only,3.0,
qwen/qwen2.5-7b-instruct-turbo,0.728707795496466,accuracy_only,19.0,
snowflake/snowflake-arctic-instruct,0.676569761285256,accuracy_only,25.0,
01-ai/yi-34b,,subject_instability,14.0,-0.9298245614035088
01-ai/yi-6b,,subject_instability,11.0,-1.1578947368421053
01-ai/yi-large-preview,,subject_instability,37.0,1.9824561403508771
allenai/olmo-1.7-7b,,subject_instability,4.0,-2.263157894736842
allenai/olmo-7b,,subject_instability,20.0,-0.5263157894736842
databricks/dbrx-instruct,,subject_instability,7.0,-1.8596491228070176
deepseek-ai/deepseek-llm-67b-chat,,subject_instability,21.0,-0.38596491228070173
deepseek-ai/deepseek-v3,,subject_instability,31.0,1.0
google/gemma-2-27b,,subject_instability,1.0,-3.0701754385964914
google/gemma-2-9b,,subject_instability,3.0,-2.719298245614035
google/gemma-7b,,subject_instability,15.0,-0.8947368421052632
meta/llama-2-13b,,subject_instability,27.0,0.3333333333333333
meta/llama-2-70b,,subject_instability,13.0,-1.0
meta/llama-2-7b,,subject_instability,16.0,-0.7017543859649122
meta/llama-3-70b,,subject_instability,9.0,-1.6842105263157894
meta/llama-3-8b,,subject_instability,19.0,-0.543859649122807
meta/llama-3.1-405b-instruct-turbo,,subject_instability,34.0,1.1929824561403508
meta/llama-3.1-70b-instruct-turbo,,subject_instability,36.0,1.5614035087719298
meta/llama-3.1-8b-instruct-turbo,,subject_instability,1.0,-3.0701754385964914
