model_id,accuracy,family,rank,rank_delta_vs_aggregate
meta/llama-3.2-11b-vision-instruct-turbo,,subject_instability,6.0,-2.175438596491228
meta/llama-3.2-90b-vision-instruct-turbo,,subject_instability,38.0,2.0526315789473686
meta/llama-3.3-70b-instruct-turbo,,subject_instability,33.0,1.1578947368421053
microsoft/phi-2,,subject_instability,27.0,0.3333333333333333
microsoft/phi-3-medium-4k-instruct,,subject_instability,24.0,-0.17543859649122806
microsoft/phi-3-small-8k-instruct,,subject_instability,26.0,-0.03508771929824561
mistralai/mistral-7b-instruct-v0.3,,subject_instability,29.0,0.8596491228070176
mistralai/mistral-7b-v0.1,,subject_instability,32.0,1.1228070175438596
mistralai/mixtral-8x22b,,subject_instability,5.0,-2.210526315789474
mistralai/mixtral-8x7b-32kseqlen,,subject_instability,10.0,-1.3333333333333333
mistralai/open-mistral-nemo-2407,,subject_instability,8.0,-1.7017543859649122
qwen/qwen1.5-110b-chat,,subject_instability,39.0,3.6140350877192984
qwen/qwen1.5-14b,,subject_instability,23.0,-0.21052631578947367
qwen/qwen1.5-32b,,subject_instability,17.0,-0.5964912280701754
qwen/qwen1.5-72b,,subject_instability,25.0,-0.07017543859649122
qwen/qwen1.5-7b,,subject_instability,22.0,-0.3508771929824561
qwen/qwen2-72b-instruct,,subject_instability,35.0,1.280701754385965
qwen/qwen2.5-72b-instruct-turbo,,subject_instability,30.0,0.9473684210526315
qwen/qwen2.5-7b-instruct-turbo,,subject_instability,12.0,-1.0526315789473684
snowflake/snowflake-arctic-instruct,,subject_instability,18.0,-0.5614035087719298
01-ai/yi-34b,0.7623282062667586,proxy_irt_only,14.0,
01-ai/yi-6b,0.6400594608704305,proxy_irt_only,29.0,
01-ai/yi-large-preview,0.7932309410233614,proxy_irt_only,8.0,
allenai/olmo-1.7-7b,0.5376719988127453,proxy_irt_only,37.0,
allenai/olmo-7b,0.29465169640967404,proxy_irt_only,39.0,
databricks/dbrx-instruct,0.7410120567563484,proxy_irt_only,18.0,
deepseek-ai/deepseek-llm-67b-chat,0.7250420554520748,proxy_irt_only,20.0,
deepseek-ai/deepseek-v3,0.8720324162906944,proxy_irt_only,1.0,
google/gemma-2-27b,0.757043394397764,proxy_irt_only,15.0,
google/gemma-2-9b,0.7213434388300994,proxy_irt_only,21.0,
google/gemma-7b,0.6611956672419421,proxy_irt_only,27.0,
meta/llama-2-13b,0.5541548609350063,proxy_irt_only,36.0,
meta/llama-2-70b,0.6954627064646922,proxy_irt_only,23.0,
meta/llama-2-7b,0.45810892943586223,proxy_irt_only,38.0,
meta/llama-3-70b,0.7933654187607485,proxy_irt_only,7.0,
meta/llama-3-8b,0.667636804678058,proxy_irt_only,26.0,
meta/llama-3.1-405b-instruct-turbo,0.845317495817485,proxy_irt_only,2.0,
meta/llama-3.1-70b-instruct-turbo,0.8010355128348474,proxy_irt_only,6.0,
meta/llama-3.1-8b-instruct-turbo,0.5606310290011184,proxy_irt_only,35.0,
meta/llama-3.2-11b-vision-instruct-turbo,0.5650818312394076,proxy_irt_only,34.0,
meta/llama-3.2-90b-vision-instruct-turbo,0.8026595003973722,proxy_irt_only,5.0,
meta/llama-3.3-70b-instruct-turbo,0.7906027613026751,proxy_irt_only,9.0,
microsoft/phi-2,0.5842493973299886,proxy_irt_only,32.0,
microsoft/phi-3-medium-4k-instruct,0.774517567943956,proxy_irt_only,11.0,
microsoft/phi-3-small-8k-instruct,0.7567775597029732,proxy_irt_only,16.0,
mistralai/mistral-7b-instruct-v0.3,0.5991250371958482,proxy_irt_only,31.0,
mistralai/mistral-7b-v0.1,0.5657513230766066,proxy_irt_only,33.0,
mistralai/mixtral-8x22b,0.7781994679340386,proxy_irt_only,10.0,
mistralai/mixtral-8x7b-32kseqlen,0.7172533474856092,proxy_irt_only,22.0,
mistralai/open-mistral-nemo-2407,0.6532946316803782,proxy_irt_only,28.0,
qwen/qwen1.5-110b-chat,0.767842526875325,proxy_irt_only,13.0,
qwen/qwen1.5-14b,0.6864380513233806,proxy_irt_only,24.0,
qwen/qwen1.5-32b,0.7443285147738199,proxy_irt_only,17.0,
qwen/qwen1.5-72b,0.7739168514623905,proxy_irt_only,12.0,
qwen/qwen1.5-7b,0.6257777441280397,proxy_irt_only,30.0,
qwen/qwen2-72b-instruct,0.8235031827495977,proxy_irt_only,4.0,
qwen/qwen2.5-72b-instruct-turbo,0.8337220858502316,proxy_irt_only,3.0,
qwen/qwen2.5-7b-instruct-turbo,0.728707795496466,proxy_irt_only,19.0,
snowflake/snowflake-arctic-instruct,0.676569761285256,proxy_irt_only,25.0,
01-ai/yi-34b,0.7623282062667586,difficulty_flags_only,14.0,
01-ai/yi-6b,0.6400594608704305,difficulty_flags_only,29.0,
01-ai/yi-large-preview,0.7932309410233614,difficulty_flags_only,8.0,
allenai/olmo-1.7-7b,0.5376719988127453,difficulty_flags_only,37.0,
allenai/olmo-7b,0.29465169640967404,difficulty_flags_only,39.0,
databricks/dbrx-instruct,0.7410120567563484,difficulty_flags_only,18.0,
deepseek-ai/deepseek-llm-67b-chat,0.7250420554520748,difficulty_flags_only,20.0,
deepseek-ai/deepseek-v3,0.8720324162906944,difficulty_flags_only,1.0,
google/gemma-2-27b,0.757043394397764,difficulty_flags_only,15.0,
google/gemma-2-9b,0.7213434388300994,difficulty_flags_only,21.0,
google/gemma-7b,0.6611956672419421,difficulty_flags_only,27.0,
meta/llama-2-13b,0.5541548609350063,difficulty_flags_only,36.0,
meta/llama-2-70b,0.6954627064646922,difficulty_flags_only,23.0,
meta/llama-2-7b,0.45810892943586223,difficulty_flags_only,38.0,
meta/llama-3-70b,0.7933654187607485,difficulty_flags_only,7.0,
meta/llama-3-8b,0.667636804678058,difficulty_flags_only,26.0,
meta/llama-3.1-405b-instruct-turbo,0.845317495817485,difficulty_flags_only,2.0,
meta/llama-3.1-70b-instruct-turbo,0.8010355128348474,difficulty_flags_only,6.0,
meta/llama-3.1-8b-instruct-turbo,0.5606310290011184,difficulty_flags_only,35.0,
meta/llama-3.2-11b-vision-instruct-turbo,0.5650818312394076,difficulty_flags_only,34.0,
meta/llama-3.2-90b-vision-instruct-turbo,0.8026595003973722,difficulty_flags_only,5.0,
meta/llama-3.3-70b-instruct-turbo,0.7906027613026751,difficulty_flags_only,9.0,
microsoft/phi-2,0.5842493973299886,difficulty_flags_only,32.0,
microsoft/phi-3-medium-4k-instruct,0.774517567943956,difficulty_flags_only,11.0,
microsoft/phi-3-small-8k-instruct,0.7567775597029732,difficulty_flags_only,16.0,
mistralai/mistral-7b-instruct-v0.3,0.5991250371958482,difficulty_flags_only,31.0,
mistralai/mistral-7b-v0.1,0.5657513230766066,difficulty_flags_only,33.0,
mistralai/mixtral-8x22b,0.7781994679340386,difficulty_flags_only,10.0,
mistralai/mixtral-8x7b-32kseqlen,0.7172533474856092,difficulty_flags_only,22.0,
mistralai/open-mistral-nemo-2407,0.6532946316803782,difficulty_flags_only,28.0,
qwen/qwen1.5-110b-chat,0.767842526875325,difficulty_flags_only,13.0,
qwen/qwen1.5-14b,0.6864380513233806,difficulty_flags_only,24.0,
qwen/qwen1.5-32b,0.7443285147738199,difficulty_flags_only,17.0,
qwen/qwen1.5-72b,0.7739168514623905,difficulty_flags_only,12.0,
qwen/qwen1.5-7b,0.6257777441280397,difficulty_flags_only,30.0,
qwen/qwen2-72b-instruct,0.8235031827495977,difficulty_flags_only,4.0,
qwen/qwen2.5-72b-instruct-turbo,0.8337220858502316,difficulty_flags_only,3.0,
qwen/qwen2.5-7b-instruct-turbo,0.728707795496466,difficulty_flags_only,19.0,
snowflake/snowflake-arctic-instruct,0.676569761285256,difficulty_flags_only,25.0,
01-ai/yi-34b,0.7623282062667586,low_discrimination_flags_only,14.0,
01-ai/yi-6b,0.6400594608704305,low_discrimination_flags_only,29.0,
01-ai/yi-large-preview,0.7932309410233614,low_discrimination_flags_only,8.0,
allenai/olmo-1.7-7b,0.5376719988127453,low_discrimination_flags_only,37.0,
allenai/olmo-7b,0.29465169640967404,low_discrimination_flags_only,39.0,
databricks/dbrx-instruct,0.7410120567563484,low_discrimination_flags_only,18.0,
deepseek-ai/deepseek-llm-67b-chat,0.7250420554520748,low_discrimination_flags_only,20.0,
deepseek-ai/deepseek-v3,0.8720324162906944,low_discrimination_flags_only,1.0,
google/gemma-2-27b,0.757043394397764,low_discrimination_flags_only,15.0,
google/gemma-2-9b,0.7213434388300994,low_discrimination_flags_only,21.0,
google/gemma-7b,0.6611956672419421,low_discrimination_flags_only,27.0,
meta/llama-2-13b,0.5541548609350063,low_discrimination_flags_only,36.0,
meta/llama-2-70b,0.6954627064646922,low_discrimination_flags_only,23.0,
meta/llama-2-7b,0.45810892943586223,low_discrimination_flags_only,38.0,
meta/llama-3-70b,0.7933654187607485,low_discrimination_flags_only,7.0,
meta/llama-3-8b,0.667636804678058,low_discrimination_flags_only,26.0,
meta/llama-3.1-405b-instruct-turbo,0.845317495817485,low_discrimination_flags_only,2.0,
meta/llama-3.1-70b-instruct-turbo,0.8010355128348474,low_discrimination_flags_only,6.0,
meta/llama-3.1-8b-instruct-turbo,0.5606310290011184,low_discrimination_flags_only,35.0,
meta/llama-3.2-11b-vision-instruct-turbo,0.5650818312394076,low_discrimination_flags_only,34.0,
meta/llama-3.2-90b-vision-instruct-turbo,0.8026595003973722,low_discrimination_flags_only,5.0,
meta/llama-3.3-70b-instruct-turbo,0.7906027613026751,low_discrimination_flags_only,9.0,
microsoft/phi-2,0.5842493973299886,low_discrimination_flags_only,32.0,
microsoft/phi-3-medium-4k-instruct,0.774517567943956,low_discrimination_flags_only,11.0,
microsoft/phi-3-small-8k-instruct,0.7567775597029732,low_discrimination_flags_only,16.0,
mistralai/mistral-7b-instruct-v0.3,0.5991250371958482,low_discrimination_flags_only,31.0,
mistralai/mistral-7b-v0.1,0.5657513230766066,low_discrimination_flags_only,33.0,
mistralai/mixtral-8x22b,0.7781994679340386,low_discrimination_flags_only,10.0,
mistralai/mixtral-8x7b-32kseqlen,0.7172533474856092,low_discrimination_flags_only,22.0,
mistralai/open-mistral-nemo-2407,0.6532946316803782,low_discrimination_flags_only,28.0,
qwen/qwen1.5-110b-chat,0.767842526875325,low_discrimination_flags_only,13.0,
qwen/qwen1.5-14b,0.6864380513233806,low_discrimination_flags_only,24.0,
qwen/qwen1.5-32b,0.7443285147738199,low_discrimination_flags_only,17.0,
qwen/qwen1.5-72b,0.7739168514623905,low_discrimination_flags_only,12.0,
qwen/qwen1.5-7b,0.6257777441280397,low_discrimination_flags_only,30.0,
qwen/qwen2-72b-instruct,0.8235031827495977,low_discrimination_flags_only,4.0,
qwen/qwen2.5-72b-instruct-turbo,0.8337220858502316,low_discrimination_flags_only,3.0,
qwen/qwen2.5-7b-instruct-turbo,0.728707795496466,low_discrimination_flags_only,19.0,
snowflake/snowflake-arctic-instruct,0.676569761285256,low_discrimination_flags_only,25.0,
01-ai/yi-34b,0.7623282062667586,negative_discrimination_flags_only,14.0,
01-ai/yi-6b,0.6400594608704305,negative_discrimination_flags_only,29.0,
01-ai/yi-large-preview,0.7932309410233614,negative_discrimination_flags_only,8.0,
allenai/olmo-1.7-7b,0.5376719988127453,negative_discrimination_flags_only,37.0,
allenai/olmo-7b,0.29465169640967404,negative_discrimination_flags_only,39.0,
databricks/dbrx-instruct,0.7410120567563484,negative_discrimination_flags_only,18.0,
deepseek-ai/deepseek-llm-67b-chat,0.7250420554520748,negative_discrimination_flags_only,20.0,
deepseek-ai/deepseek-v3,0.8720324162906944,negative_discrimination_flags_only,1.0,
google/gemma-2-27b,0.757043394397764,negative_discrimination_flags_only,15.0,
google/gemma-2-9b,0.7213434388300994,negative_discrimination_flags_only,21.0,
google/gemma-7b,0.6611956672419421,negative_discrimination_flags_only,27.0,
meta/llama-2-13b,0.5541548609350063,negative_discrimination_flags_only,36.0,
meta/llama-2-70b,0.6954627064646922,negative_discrimination_flags_only,23.0,
meta/llama-2-7b,0.45810892943586223,negative_discrimination_flags_only,38.0,
meta/llama-3-70b,0.7933654187607485,negative_discrimination_flags_only,7.0,
meta/llama-3-8b,0.667636804678058,negative_discrimination_flags_only,26.0,
meta/llama-3.1-405b-instruct-turbo,0.845317495817485,negative_discrimination_flags_only,2.0,
meta/llama-3.1-70b-instruct-turbo,0.8010355128348474,negative_discrimination_flags_only,6.0,
meta/llama-3.1-8b-instruct-turbo,0.5606310290011184,negative_discrimination_flags_only,35.0,
meta/llama-3.2-11b-vision-instruct-turbo,0.5650818312394076,negative_discrimination_flags_only,34.0,
meta/llama-3.2-90b-vision-instruct-turbo,0.8026595003973722,negative_discrimination_flags_only,5.0,
meta/llama-3.3-70b-instruct-turbo,0.7906027613026751,negative_discrimination_flags_only,9.0,
microsoft/phi-2,0.5842493973299886,negative_discrimination_flags_only,32.0,
microsoft/phi-3-medium-4k-instruct,0.774517567943956,negative_discrimination_flags_only,11.0,
microsoft/phi-3-small-8k-instruct,0.7567775597029732,negative_discrimination_flags_only,16.0,
mistralai/mistral-7b-instruct-v0.3,0.5991250371958482,negative_discrimination_flags_only,31.0,
mistralai/mistral-7b-v0.1,0.5657513230766066,negative_discrimination_flags_only,33.0,
mistralai/mixtral-8x22b,0.7781994679340386,negative_discrimination_flags_only,10.0,
mistralai/mixtral-8x7b-32kseqlen,0.7172533474856092,negative_discrimination_flags_only,22.0,
mistralai/open-mistral-nemo-2407,0.6532946316803782,negative_discrimination_flags_only,28.0,
qwen/qwen1.5-110b-chat,0.767842526875325,negative_discrimination_flags_only,13.0,
qwen/qwen1.5-14b,0.6864380513233806,negative_discrimination_flags_only,24.0,
qwen/qwen1.5-32b,0.7443285147738199,negative_discrimination_flags_only,17.0,
qwen/qwen1.5-72b,0.7739168514623905,negative_discrimination_flags_only,12.0,
qwen/qwen1.5-7b,0.6257777441280397,negative_discrimination_flags_only,30.0,
qwen/qwen2-72b-instruct,0.8235031827495977,negative_discrimination_flags_only,4.0,
qwen/qwen2.5-72b-instruct-turbo,0.8337220858502316,negative_discrimination_flags_only,3.0,
qwen/qwen2.5-7b-instruct-turbo,0.728707795496466,negative_discrimination_flags_only,19.0,
snowflake/snowflake-arctic-instruct,0.676569761285256,negative_discrimination_flags_only,25.0,
01-ai/yi-34b,0.7623282062667586,combined_diagnostics,14.0,
01-ai/yi-6b,0.6400594608704305,combined_diagnostics,29.0,
01-ai/yi-large-preview,0.7932309410233614,combined_diagnostics,8.0,
allenai/olmo-1.7-7b,0.5376719988127453,combined_diagnostics,37.0,
allenai/olmo-7b,0.29465169640967404,combined_diagnostics,39.0,
databricks/dbrx-instruct,0.7410120567563484,combined_diagnostics,18.0,
deepseek-ai/deepseek-llm-67b-chat,0.7250420554520748,combined_diagnostics,20.0,
deepseek-ai/deepseek-v3,0.8720324162906944,combined_diagnostics,1.0,
google/gemma-2-27b,0.757043394397764,combined_diagnostics,15.0,
google/gemma-2-9b,0.7213434388300994,combined_diagnostics,21.0,
google/gemma-7b,0.6611956672419421,combined_diagnostics,27.0,
meta/llama-2-13b,0.5541548609350063,combined_diagnostics,36.0,
meta/llama-2-70b,0.6954627064646922,combined_diagnostics,23.0,
meta/llama-2-7b,0.45810892943586223,combined_diagnostics,38.0,
meta/llama-3-70b,0.7933654187607485,combined_diagnostics,7.0,
meta/llama-3-8b,0.667636804678058,combined_diagnostics,26.0,
meta/llama-3.1-405b-instruct-turbo,0.845317495817485,combined_diagnostics,2.0,
meta/llama-3.1-70b-instruct-turbo,0.8010355128348474,combined_diagnostics,6.0,
meta/llama-3.1-8b-instruct-turbo,0.5606310290011184,combined_diagnostics,35.0,
meta/llama-3.2-11b-vision-instruct-turbo,0.5650818312394076,combined_diagnostics,34.0,
meta/llama-3.2-90b-vision-instruct-turbo,0.8026595003973722,combined_diagnostics,5.0,
meta/llama-3.3-70b-instruct-turbo,0.7906027613026751,combined_diagnostics,9.0,
microsoft/phi-2,0.5842493973299886,combined_diagnostics,32.0,
microsoft/phi-3-medium-4k-instruct,0.774517567943956,combined_diagnostics,11.0,
microsoft/phi-3-small-8k-instruct,0.7567775597029732,combined_diagnostics,16.0,
mistralai/mistral-7b-instruct-v0.3,0.5991250371958482,combined_diagnostics,31.0,
mistralai/mistral-7b-v0.1,0.5657513230766066,combined_diagnostics,33.0,
mistralai/mixtral-8x22b,0.7781994679340386,combined_diagnostics,10.0,
mistralai/mixtral-8x7b-32kseqlen,0.7172533474856092,combined_diagnostics,22.0,
mistralai/open-mistral-nemo-2407,0.6532946316803782,combined_diagnostics,28.0,
qwen/qwen1.5-110b-chat,0.767842526875325,combined_diagnostics,13.0,
qwen/qwen1.5-14b,0.6864380513233806,combined_diagnostics,24.0,
qwen/qwen1.5-32b,0.7443285147738199,combined_diagnostics,17.0,
qwen/qwen1.5-72b,0.7739168514623905,combined_diagnostics,12.0,
qwen/qwen1.5-7b,0.6257777441280397,combined_diagnostics,30.0,
qwen/qwen2-72b-instruct,0.8235031827495977,combined_diagnostics,4.0,
qwen/qwen2.5-72b-instruct-turbo,0.8337220858502316,combined_diagnostics,3.0,
qwen/qwen2.5-7b-instruct-turbo,0.728707795496466,combined_diagnostics,19.0,
snowflake/snowflake-arctic-instruct,0.676569761285256,combined_diagnostics,25.0,
01-ai/yi-34b,0.7623282062667586,random_diagnostic_baseline,14.0,
01-ai/yi-6b,0.6400594608704305,random_diagnostic_baseline,29.0,
01-ai/yi-large-preview,0.7932309410233614,random_diagnostic_baseline,8.0,
allenai/olmo-1.7-7b,0.5376719988127453,random_diagnostic_baseline,37.0,
allenai/olmo-7b,0.29465169640967404,random_diagnostic_baseline,39.0,
databricks/dbrx-instruct,0.7410120567563484,random_diagnostic_baseline,18.0,
deepseek-ai/deepseek-llm-67b-chat,0.7250420554520748,random_diagnostic_baseline,20.0,
deepseek-ai/deepseek-v3,0.8720324162906944,random_diagnostic_baseline,1.0,
google/gemma-2-27b,0.757043394397764,random_diagnostic_baseline,15.0,
google/gemma-2-9b,0.7213434388300994,random_diagnostic_baseline,21.0,
google/gemma-7b,0.6611956672419421,random_diagnostic_baseline,27.0,
meta/llama-2-13b,0.5541548609350063,random_diagnostic_baseline,36.0,
meta/llama-2-70b,0.6954627064646922,random_diagnostic_baseline,23.0,
meta/llama-2-7b,0.45810892943586223,random_diagnostic_baseline,38.0,
meta/llama-3-70b,0.7933654187607485,random_diagnostic_baseline,7.0,
meta/llama-3-8b,0.667636804678058,random_diagnostic_baseline,26.0,
meta/llama-3.1-405b-instruct-turbo,0.845317495817485,random_diagnostic_baseline,2.0,
meta/llama-3.1-70b-instruct-turbo,0.8010355128348474,random_diagnostic_baseline,6.0,
meta/llama-3.1-8b-instruct-turbo,0.5606310290011184,random_diagnostic_baseline,35.0,
meta/llama-3.2-11b-vision-instruct-turbo,0.5650818312394076,random_diagnostic_baseline,34.0,
meta/llama-3.2-90b-vision-instruct-turbo,0.8026595003973722,random_diagnostic_baseline,5.0,
meta/llama-3.3-70b-instruct-turbo,0.7906027613026751,random_diagnostic_baseline,9.0,
microsoft/phi-2,0.5842493973299886,random_diagnostic_baseline,32.0,
microsoft/phi-3-medium-4k-instruct,0.774517567943956,random_diagnostic_baseline,11.0,
microsoft/phi-3-small-8k-instruct,0.7567775597029732,random_diagnostic_baseline,16.0,
mistralai/mistral-7b-instruct-v0.3,0.5991250371958482,random_diagnostic_baseline,31.0,
mistralai/mistral-7b-v0.1,0.5657513230766066,random_diagnostic_baseline,33.0,
mistralai/mixtral-8x22b,0.7781994679340386,random_diagnostic_baseline,10.0,
mistralai/mixtral-8x7b-32kseqlen,0.7172533474856092,random_diagnostic_baseline,22.0,
mistralai/open-mistral-nemo-2407,0.6532946316803782,random_diagnostic_baseline,28.0,
qwen/qwen1.5-110b-chat,0.767842526875325,random_diagnostic_baseline,13.0,
qwen/qwen1.5-14b,0.6864380513233806,random_diagnostic_baseline,24.0,
qwen/qwen1.5-32b,0.7443285147738199,random_diagnostic_baseline,17.0,
qwen/qwen1.5-72b,0.7739168514623905,random_diagnostic_baseline,12.0,
qwen/qwen1.5-7b,0.6257777441280397,random_diagnostic_baseline,30.0,
qwen/qwen2-72b-instruct,0.8235031827495977,random_diagnostic_baseline,4.0,
qwen/qwen2.5-72b-instruct-turbo,0.8337220858502316,random_diagnostic_baseline,3.0,
qwen/qwen2.5-7b-instruct-turbo,0.728707795496466,random_diagnostic_baseline,19.0,
snowflake/snowflake-arctic-instruct,0.676569761285256,random_diagnostic_baseline,25.0,
