stage,estimand,effect_size,model_count,family_count,models_per_family,family_correlation,benchmark_count,item_count,measurement_error,transport_heterogeneity,held_out_benchmark,held_out_family,simulated_standard_error,power,monte_carlo_se,power_ci_lower,power_ci_upper,target_power,design_adequacy,evidence_role
S2,TOP_K_DECISION_STABILITY,0.03,8,7,1.1428571428571428,0.5,3,200,0.15,0.2,ROTATING_LOBO,ROTATING_LOFO,0.023784133220262012,0.28,0.020079840636817812,0.24064351235183712,0.31935648764816293,0.8,UNDERPOWERED,PLANNING_SIMULATION_ONLY
S2,CLAIM_LICENSE_RATE,0.01,8,7,1.1428571428571428,0.5,3,200,0.15,0.2,ROTATING_LOBO,ROTATING_LOFO,0.16366341767699427,0.042,0.008970618707759236,0.0244175873327919,0.05958241266720811,0.8,UNDERPOWERED,PLANNING_SIMULATION_ONLY
S2,CLAIM_LICENSE_RATE,0.02,8,7,1.1428571428571428,0.5,3,200,0.15,0.2,ROTATING_LOBO,ROTATING_LOFO,0.16366341767699427,0.048,0.009559916317625379,0.029262564017454258,0.06673743598254575,0.8,UNDERPOWERED,PLANNING_SIMULATION_ONLY
S2,CLAIM_LICENSE_RATE,0.03,8,7,1.1428571428571428,0.5,3,200,0.15,0.2,ROTATING_LOBO,ROTATING_LOFO,0.16366341767699427,0.05,0.009746794344808964,0.030896283084174435,0.06910371691582556,0.8,UNDERPOWERED,PLANNING_SIMULATION_ONLY
S2,REPAIR_EFFECT,0.01,8,7,1.1428571428571428,0.5,3,200,0.15,0.2,ROTATING_LOBO,ROTATING_LOFO,0.019190747298320446,0.092,0.012925633446759968,0.06666575844435046,0.11733424155564953,0.8,UNDERPOWERED,PLANNING_SIMULATION_ONLY
S2,REPAIR_EFFECT,0.02,8,7,1.1428571428571428,0.5,3,200,0.15,0.2,ROTATING_LOBO,ROTATING_LOFO,0.019190747298320446,0.164,0.0165592270351004,0.13154391501120322,0.1964560849887968,0.8,UNDERPOWERED,PLANNING_SIMULATION_ONLY
S2,REPAIR_EFFECT,0.03,8,7,1.1428571428571428,0.5,3,200,0.15,0.2,ROTATING_LOBO,ROTATING_LOFO,0.019190747298320446,0.382,0.02172905888436036,0.3394110445866537,0.4245889554133463,0.8,UNDERPOWERED,PLANNING_SIMULATION_ONLY
S3,PAIRWISE_ACCURACY_DIFFERENCE,0.01,11,9,1.2222222222222223,0.5,3,1319,0.1,0.2,ROTATING_LOBO,ROTATING_LOFO,0.01686138465980608,0.082,0.012269963325128565,0.057950871882748015,0.10604912811725199,0.8,UNDERPOWERED,PLANNING_SIMULATION_ONLY
S3,PAIRWISE_ACCURACY_DIFFERENCE,0.02,11,9,1.2222222222222223,0.5,3,1319,0.1,0.2,ROTATING_LOBO,ROTATING_LOFO,0.01686138465980608,0.21,0.01821537811850196,0.17429785888773616,0.24570214111226382,0.8,UNDERPOWERED,PLANNING_SIMULATION_ONLY
S3,PAIRWISE_ACCURACY_DIFFERENCE,0.03,11,9,1.2222222222222223,0.5,3,1319,0.1,0.2,ROTATING_LOBO,ROTATING_LOFO,0.01686138465980608,0.432,0.022152923057691506,0.38858027080692464,0.47541972919307535,0.8,UNDERPOWERED,PLANNING_SIMULATION_ONLY
S3,MODEL_RANK_CORRELATION,0.01,11,9,1.2222222222222223,0.5,3,1319,0.1,0.2,ROTATING_LOBO,ROTATING_LOFO,0.41576092031014994,0.048,0.009559916317625379,0.029262564017454258,0.06673743598254575,0.8,UNDERPOWERED,PLANNING_SIMULATION_ONLY
S3,MODEL_RANK_CORRELATION,0.02,11,9,1.2222222222222223,0.5,3,1319,0.1,0.2,ROTATING_LOBO,ROTATING_LOFO,0.41576092031014994,0.056,0.010282412168358162,0.035846472150018,0.076153527849982,0.8,UNDERPOWERED,PLANNING_SIMULATION_ONLY
S3,MODEL_RANK_CORRELATION,0.03,11,9,1.2222222222222223,0.5,3,1319,0.1,0.2,ROTATING_LOBO,ROTATING_LOFO,0.41576092031014994,0.04,0.008763560920082658,0.022823420596637993,0.05717657940336201,0.8,UNDERPOWERED,PLANNING_SIMULATION_ONLY
