scenario,model_count,family_count,item_count,subject_count,ability_distribution,family_correlation,latent_dimensions,missingness,saturation,regime,best_predictive_model,ability_rank_spearman,aggregate_ability_brier,aggregate_ability_log_loss,aggregate_ability_calibration_error,additive_subject_difficulty_brier,additive_subject_difficulty_log_loss,additive_subject_difficulty_calibration_error,regularized_subject_conditioned_brier,regularized_subject_conditioned_log_loss,regularized_subject_conditioned_calibration_error,low_rank_factor_brier,low_rank_factor_log_loss,low_rank_factor_calibration_error
0,5,2,600,12,gaussian,0.4,1,0.0,0.0,UNIDENTIFIABLE,additive_subject_difficulty,0.9999999999999999,0.22450260416666665,0.6391278697749709,0.016249999999999987,0.22464836328036109,0.6390642833696242,0.014558620057570693,0.22637101313031432,0.6439123178045063,0.016459761761172143,0.3105264834198902,2.1428437461363887,0.008129467063567763
1,10,2,600,12,gaussian,0.4,1,0.0,0.0,UNRELIABLE,additive_subject_difficulty,0.9999999999999999,0.21112369791666666,0.611587940021559,0.0031250000000000444,0.21024708524584224,0.6095728748464679,0.00058386154925405,0.21322765661529264,0.6161597732775729,0.002248939534201466,0.2657981535752852,1.40108971467885,0.007946901304083598
2,20,5,600,12,gaussian,0.4,1,0.0,0.0,CAUTION,aggregate_ability,0.980067763931009,0.21153559027777777,0.6120125303122308,0.015416666666666745,0.2116270972136827,0.6121822661140535,0.015286919437569657,0.21402394369153901,0.6177517828159945,0.01549075025176505,0.2449340787086907,1.0933159612317724,0.014952477118510776
3,30,7,600,12,gaussian,0.4,1,0.0,0.0,SUPPORTED,additive_subject_difficulty,0.9941039109239713,0.19600260416666668,0.5751966150850301,0.0018055555555556158,0.1956948137080674,0.574549115386065,0.0017580897278317575,0.19783200195569348,0.5809616790623618,0.0016129445445536295,0.19730188176577235,0.7827613063707982,0.004613590760804365
4,40,10,600,12,gaussian,0.4,1,0.0,0.0,SUPPORTED,additive_subject_difficulty,0.9889305816135088,0.22625249565972222,0.6433876908298505,0.00390625,0.22616875116046628,0.6431563171351627,0.003606733983270438,0.22908777351108464,0.6501326602445036,0.0039090920257048856,0.22635463149280335,0.7806475046941006,0.0057530340641956945
5,80,12,600,12,gaussian,0.4,1,0.0,0.0,SUPPORTED,additive_subject_difficulty,0.9931609207041345,0.20098838975694444,0.5866369141627601,0.0006249999999999867,0.2007604181243043,0.5861571721547716,0.0006252370455632761,0.2039454277065374,0.5944338461066403,5.985643817052466e-05,0.19011957465484258,0.6331642441091273,0.0014894570115296935
6,120,12,600,12,gaussian,0.4,1,0.0,0.0,SUPPORTED,low_rank_factor,0.992698930708527,0.21442248987268517,0.6176516533974438,0.0028645833333332815,0.21415623176326404,0.6170847081731498,0.0026370778320797816,0.2177881152116048,0.6257500580756744,0.0018955510362170802,0.1974736285155618,0.6162353130898977,0.002900925738578475
7,40,10,600,12,skewed,0.4,1,0.0,0.0,SUPPORTED,additive_subject_difficulty,0.9907594175728944,0.2171970486111111,0.6220477500599122,0.00708333333333333,0.21610852560597776,0.6197723938077907,0.008006470807573551,0.21950365476668948,0.6280583671993275,0.0071601547157948975,0.21601526081518202,0.7793554371255221,0.004388954847826976
8,40,10,600,12,multimodal,0.4,1,0.0,0.0,SUPPORTED,additive_subject_difficulty,0.9884140918045655,0.20945052083333332,0.6071215417791456,0.007604166666666745,0.208879902061025,0.6056921054131518,0.007339428402177495,0.21251812967798708,0.6147969588735592,0.006659343978737464,0.21008093333743275,0.7905924331896582,0.007948424509296004
9,40,10,600,12,family_clustered,0.4,1,0.0,0.0,SUPPORTED,additive_subject_difficulty,0.99268224472891,0.21943804253472224,0.6288703530128796,0.007239583333333299,0.21871709557268118,0.6273670692061328,0.006882279932175772,0.2214658706773956,0.6342335893045762,0.00587265252041741,0.2185234111491633,0.800885471495765,0.006414723042018788
10,40,10,600,12,heavy_tailed,0.4,1,0.0,0.0,SUPPORTED,additive_subject_difficulty,0.9885532168797571,0.22747254774305556,0.6461796678058541,0.019739583333333255,0.22722053599123854,0.6455801181647102,0.019924671107820258,0.23062037255714918,0.6535933398681523,0.019578566139648812,0.2231037610496932,0.7661898049111697,0.016642419502232664
11,40,10,600,12,gaussian,0.4,2,0.0,0.0,SUPPORTED,additive_subject_difficulty,0.9861612894956038,0.21589670138888886,0.620404589195206,0.0047916666666666385,0.21563183628083776,0.6197846736559736,0.004753076163306225,0.21925916047565125,0.6282967016879824,0.005910003994031854,0.21926463281409525,0.8002541556397671,0.0014046509341046898
12,40,10,600,12,gaussian,0.4,4,0.0,0.0,SUPPORTED,additive_subject_difficulty,0.9960129472939515,0.21339615885416668,0.6147364194683159,0.008281250000000018,0.21310902304057014,0.6139734915939227,0.008225122393021422,0.21775156586167288,0.6252396231825952,0.007442918190211589,0.2110564058749802,0.7476955956434872,0.0026689088968605557
13,40,10,600,12,gaussian,0.4,1,0.1,0.0,SUPPORTED,additive_subject_difficulty,0.9930581613508443,0.20483350783146267,0.5965306408963077,0.007196851637772117,0.20406107674310403,0.5947399449474702,0.007087773983627033,0.20730220960696347,0.6029962699529458,0.007648291832126952,0.20640009246494864,0.786261328266092,0.007176313554824287
14,40,10,600,12,gaussian,0.4,1,0.3,0.0,SUPPORTED,additive_subject_difficulty,0.9911346696958272,0.19909698806235496,0.5838690649109058,0.004244405390185224,0.19827471728097767,0.5815669254206365,0.004892719963369818,0.20235393714246858,0.5931467755204896,0.004071262457575386,0.2090184823819358,0.8176592159320891,0.006136075501478433
15,40,10,600,12,gaussian,0.4,1,0.0,0.4,SUPPORTED,aggregate_ability,0.9812347705133353,0.2005310329861111,0.5859738254444014,0.0029166666666665675,0.20064279990160422,0.586273382012702,0.002646307796850711,0.20325957397703068,0.592649764768064,0.000878933702740059,0.20350038840458454,0.7454573516745132,0.005028951728151543
16,40,10,600,12,gaussian,0.4,1,0.0,0.8,SUPPORTED,additive_subject_difficulty,0.9800628703330868,0.16185861545138888,0.4974082298400371,0.0017187500000001021,0.16124632105211173,0.4960057871611798,0.0021601657808214547,0.16317600825362832,0.5026476157587073,0.0069590463723455676,0.1670039869063734,0.6725327636430248,0.0013899620987066763
17,40,10,600,12,gaussian,0.0,1,0.0,0.0,SUPPORTED,additive_subject_difficulty,0.9884130134940716,0.22210373263888888,0.6333952897329276,0.006250000000000033,0.2220102235420406,0.6331202928676624,0.006045165339434055,0.226506349683438,0.6432403828177631,0.007478751793624616,0.2146751664237586,0.7554086968278464,0.0016254272335397557
18,40,10,600,12,gaussian,0.8,1,0.0,0.0,SUPPORTED,additive_subject_difficulty,0.9912284827265603,0.20698828125000002,0.600516469376677,0.018437499999999996,0.2068928293862851,0.6004862779369785,0.018810609569294534,0.2101987717992814,0.608937245868774,0.020117291395443326,0.21218382719304876,0.7914415993554507,0.015813914815809627
