method,stress_case,raw_n,effective_n,family_count,false_directional_decisions,CI_undercoverage,inflated_significance,false_transport,power,abstention,observations
FAMILY_BALANCED,GENERAL_STRESS,500,12,2,0.0,0.2142857142857143,0.0,0.0,0.0,1.0,14
FAMILY_BALANCED,GENERAL_STRESS,500,12,4,0.0,0.0,0.0,0.0,0.5,0.7,10
FAMILY_BALANCED,GENERAL_STRESS,500,12,6,0.0,0.0,0.0,0.0,0.125,0.9166666666666666,12
FAMILY_BALANCED,GENERAL_STRESS,500,12,10,0.0,0.1875,0.0,0.0,0.1,0.9375,16
FAMILY_BALANCED,GENERAL_STRESS,500,18,2,0.0,0.08333333333333337,0.0,0.0,0.375,0.75,12
FAMILY_BALANCED,GENERAL_STRESS,500,18,4,0.07142857142857142,0.0714285714285714,0.0,0.0,0.375,0.7142857142857143,14
FAMILY_BALANCED,GENERAL_STRESS,500,18,6,0.0,0.0,0.0,0.0,0.6,0.5714285714285714,14
FAMILY_BALANCED,GENERAL_STRESS,500,18,10,0.08333333333333333,0.16666666666666663,0.0,0.0,0.125,0.8333333333333334,12
FAMILY_BALANCED,GENERAL_STRESS,500,36,2,0.0,0.0714285714285714,0.0,0.0,0.625,0.6428571428571428,14
FAMILY_BALANCED,GENERAL_STRESS,500,36,4,0.0,0.09999999999999998,0.0,0.0,0.5,0.6,10
FAMILY_BALANCED,GENERAL_STRESS,500,36,6,0.0,0.0,0.0,0.0,0.4,0.75,16
FAMILY_BALANCED,GENERAL_STRESS,500,36,10,0.0,0.0,0.0,0.0,0.5,0.6666666666666667,12
FAMILY_BALANCED,GENERAL_STRESS,500,54,2,0.0,0.0,0.0,0.0,0.625,0.5833333333333333,12
FAMILY_BALANCED,GENERAL_STRESS,500,54,4,0.0,0.1428571428571429,0.0,0.0,0.75,0.5714285714285714,14
FAMILY_BALANCED,GENERAL_STRESS,500,54,6,0.0,0.0,0.0,0.0,0.75,0.25,4
FAMILY_BALANCED,GENERAL_STRESS,500,54,10,0.0,0.0,0.0,0.0,1.0,0.0,4
FAMILY_BALANCED,GENERAL_STRESS,500,96,2,0.0,0.0,0.0,0.0,0.5,0.6666666666666667,12
FAMILY_BALANCED,GENERAL_STRESS,500,96,4,0.0,0.09999999999999998,0.0,0.0,1.0,0.4,10
FAMILY_BALANCED,GENERAL_STRESS,500,96,6,0.0,0.0,0.0,0.0,0.75,0.25,8
FAMILY_BALANCED,GENERAL_STRESS,500,96,10,0.0,0.25,0.0,0.0,0.5,0.5,4
FAMILY_BALANCED,GENERAL_STRESS,500,144,2,0.0,0.08333333333333337,0.0,0.0,1.0,0.33333333333333337,12
FAMILY_BALANCED,GENERAL_STRESS,500,144,4,0.08333333333333333,0.16666666666666663,0.0,0.0,0.625,0.5,12
FAMILY_BALANCED,GENERAL_STRESS,500,144,6,0.0,0.0,0.0,0.0,1.0,0.0,4
FAMILY_BALANCED,GENERAL_STRESS,500,144,10,0.0,0.125,0.0,0.0,1.0,0.0,8
FAMILY_BALANCED,GENERAL_STRESS,10000,36,2,0.0,0.0714285714285714,0.0,0.0,0.25,0.8571428571428572,14
FAMILY_BALANCED,GENERAL_STRESS,10000,36,4,0.0,0.09999999999999998,0.0,0.0,0.8333333333333334,0.5,10
FAMILY_BALANCED,GENERAL_STRESS,10000,36,6,0.0,0.08333333333333337,0.0,0.0,0.125,0.9166666666666666,12
FAMILY_BALANCED,GENERAL_STRESS,10000,36,10,0.0,0.0625,0.0,0.0,0.5,0.6875,16
FAMILY_BALANCED,GENERAL_STRESS,10000,54,2,0.0,0.08333333333333337,0.0,0.0,0.75,0.5,12
FAMILY_BALANCED,GENERAL_STRESS,10000,54,4,0.0,0.0,0.0,0.0,0.875,0.5,14
FAMILY_BALANCED,GENERAL_STRESS,10000,54,6,0.0,0.0,0.0,0.0,0.0,1.0,4
FAMILY_BALANCED,GENERAL_STRESS,10000,54,10,0.0,0.0,0.0,0.0,1.0,0.0,2
FAMILY_BALANCED,GENERAL_STRESS,10000,96,2,0.0,0.0714285714285714,0.0,0.0,0.5,0.7142857142857143,14
FAMILY_BALANCED,GENERAL_STRESS,10000,96,4,0.1,0.30000000000000004,0.0,0.0,0.75,0.30000000000000004,10
FAMILY_BALANCED,GENERAL_STRESS,10000,96,6,0.0,0.0,0.0,0.0,0.5,0.6666666666666667,6
FAMILY_BALANCED,GENERAL_STRESS,10000,96,10,0.0,0.0,0.0,0.0,0.5,0.8333333333333334,6
FAMILY_BALANCED,GENERAL_STRESS,10000,144,2,0.0,0.0,0.0,0.0,0.875,0.41666666666666663,12
FAMILY_BALANCED,GENERAL_STRESS,10000,144,4,0.0,0.0,0.0,0.0,1.0,0.4285714285714286,14
FAMILY_BALANCED,GENERAL_STRESS,10000,144,6,0.0,0.0,0.0,0.0,1.0,0.0,2
FAMILY_BALANCED,GENERAL_STRESS,10000,144,10,0.0,0.0,0.0,0.0,0.5,0.6666666666666667,6
FAMILY_BALANCED,GENERAL_STRESS,1000000,36,2,0.0,0.08333333333333337,0.0,0.0,0.25,0.8333333333333334,12
FAMILY_BALANCED,GENERAL_STRESS,1000000,36,4,0.0,0.19999999999999996,0.0,0.0,0.3333333333333333,0.8,10
FAMILY_BALANCED,GENERAL_STRESS,1000000,36,6,0.0,0.0,0.0,0.0,0.4,0.7142857142857143,14
FAMILY_BALANCED,GENERAL_STRESS,1000000,36,10,0.0,0.0714285714285714,0.0,0.0,0.5,0.6428571428571428,14
FAMILY_BALANCED,GENERAL_STRESS,1000000,54,2,0.0,0.08333333333333337,0.0,0.0,0.5,0.6666666666666667,12
FAMILY_BALANCED,GENERAL_STRESS,1000000,54,4,0.0,0.0,0.0,0.0,0.625,0.5833333333333333,12
FAMILY_BALANCED,GENERAL_STRESS,1000000,54,6,0.0,0.0,0.0,0.0,0.75,0.5714285714285714,14
FAMILY_BALANCED,GENERAL_STRESS,1000000,54,10,0.0,0.1428571428571429,0.0,0.0,0.7,0.5,14
FAMILY_BALANCED,GENERAL_STRESS,1000000,96,2,0.0,0.0,0.0,0.0,0.75,0.5714285714285714,14
FAMILY_BALANCED,GENERAL_STRESS,1000000,96,4,0.0,0.09999999999999998,0.0,0.0,0.6666666666666666,0.6,10
FAMILY_BALANCED,GENERAL_STRESS,1000000,96,6,0.0,0.0,0.0,0.0,0.5,0.6666666666666667,12
FAMILY_BALANCED,GENERAL_STRESS,1000000,96,10,0.0,0.125,0.0,0.0,0.7,0.5625,16
FAMILY_BALANCED,GENERAL_STRESS,1000000,144,2,0.0,0.16666666666666663,0.0,0.0,0.625,0.5833333333333333,12
FAMILY_BALANCED,GENERAL_STRESS,1000000,144,4,0.0,0.1428571428571429,0.0,0.0,1.0,0.4285714285714286,14
FAMILY_BALANCED,GENERAL_STRESS,1000000,144,6,0.0,0.1428571428571429,0.0,0.0,0.7,0.5,14
FAMILY_BALANCED,GENERAL_STRESS,1000000,144,10,0.0,0.16666666666666663,0.0,0.0,0.875,0.41666666666666663,12
FAMILY_BALANCED,HUGE_RAW_N_TINY_EFFECTIVE_N,10000,12,2,0.0,0.0,0.0,0.0,0.35714285714285715,0.75,20
FAMILY_BALANCED,HUGE_RAW_N_TINY_EFFECTIVE_N,10000,12,4,0.0,0.09999999999999998,0.0,0.0,0.16666666666666666,0.9,20
FAMILY_BALANCED,HUGE_RAW_N_TINY_EFFECTIVE_N,10000,12,6,0.0,0.15000000000000002,0.0,0.0,0.21428571428571427,0.85,20
FAMILY_BALANCED,HUGE_RAW_N_TINY_EFFECTIVE_N,10000,12,10,0.0,0.09999999999999998,0.0,0.0,0.14285714285714285,0.9,20
FAMILY_BALANCED,HUGE_RAW_N_TINY_EFFECTIVE_N,10000,18,2,0.0,0.050000000000000044,0.0,0.0,0.21428571428571427,0.85,20
FAMILY_BALANCED,HUGE_RAW_N_TINY_EFFECTIVE_N,10000,18,4,0.0,0.09999999999999998,0.0,0.0,0.42857142857142855,0.7,20
FAMILY_BALANCED,HUGE_RAW_N_TINY_EFFECTIVE_N,10000,18,6,0.0,0.09999999999999998,0.0,0.0,0.5,0.7,20
FAMILY_BALANCED,HUGE_RAW_N_TINY_EFFECTIVE_N,10000,18,10,0.0,0.0,0.0,0.0,0.5,0.65,20
FAMILY_BALANCED,HUGE_RAW_N_TINY_EFFECTIVE_N,1000000,12,2,0.0,0.0,0.0,0.0,0.4166666666666667,0.75,20
FAMILY_BALANCED,HUGE_RAW_N_TINY_EFFECTIVE_N,1000000,12,4,0.0,0.05555555555555558,0.0,0.0,0.42857142857142855,0.6666666666666667,18
FAMILY_BALANCED,HUGE_RAW_N_TINY_EFFECTIVE_N,1000000,12,6,0.0,0.045454545454545414,0.0,0.0,0.2857142857142857,0.8181818181818181,22
FAMILY_BALANCED,HUGE_RAW_N_TINY_EFFECTIVE_N,1000000,12,10,0.0,0.0,0.0,0.0,0.14285714285714285,0.9,20
FAMILY_BALANCED,HUGE_RAW_N_TINY_EFFECTIVE_N,1000000,18,2,0.0,0.0,0.0,0.0,0.2857142857142857,0.8,20
FAMILY_BALANCED,HUGE_RAW_N_TINY_EFFECTIVE_N,1000000,18,4,0.0,0.0,0.0,0.0,0.5,0.7,20
FAMILY_BALANCED,HUGE_RAW_N_TINY_EFFECTIVE_N,1000000,18,6,0.0,0.11111111111111116,0.0,0.0,0.42857142857142855,0.6666666666666667,18
FAMILY_BALANCED,HUGE_RAW_N_TINY_EFFECTIVE_N,1000000,18,10,0.0,0.09090909090909094,0.0,0.0,0.2857142857142857,0.8181818181818181,22
FAMILY_BALANCED,MANY_CHECKPOINTS_FEW_FAMILIES,500,12,2,0.0,0.0,0.0,0.0,0.0,1.0,4
FAMILY_BALANCED,MANY_CHECKPOINTS_FEW_FAMILIES,500,12,4,0.0,0.0,0.0,0.0,0.16666666666666666,0.875,8
FAMILY_BALANCED,MANY_CHECKPOINTS_FEW_FAMILIES,500,18,2,0.0,0.0,0.0,0.0,1.0,0.5,8
FAMILY_BALANCED,MANY_CHECKPOINTS_FEW_FAMILIES,500,18,4,0.0,0.0,0.0,0.0,0.75,0.25,4
FAMILY_BALANCED,MANY_CHECKPOINTS_FEW_FAMILIES,500,36,2,0.0,0.25,0.0,0.0,0.75,0.25,4
