annotations_per_stratum,annotators_2_total_labels,annotators_3_total_labels,expected_precision,precision_ci_lower,precision_ci_upper,expected_control_prevalence,control_prevalence_ci_lower,control_prevalence_ci_upper,expected_enrichment,enrichment_ci_lower,enrichment_ci_upper,expected_agreement,agreement_ci_lower,agreement_ci_upper
50,100,150,0.7,0.562496495355466,0.8089644649911906,0.2,0.1124375001577611,0.3303710593222542,3.4999999999999996,1.9531594694149965,6.271889311561986,0.8,0.6696289406777459,0.887562499842239
100,200,300,0.7,0.6041514536665332,0.7810511470506724,0.2,0.1333669333310325,0.2888291655931589,3.4999999999999996,2.317055531951339,5.286882351793915,0.8,0.7111708344068411,0.8666330666689676
150,300,450,0.7,0.6224201960400859,0.7675917062126834,0.2,0.14384081582284963,0.27114133079799635,3.4999999999999996,2.4992385084259308,4.901492978241315,0.8,0.7288586692020037,0.8561591841771504
200,400,600,0.7,0.6332093162728074,0.7592525531762859,0.2,0.15045200926098115,0.2608551865653788,3.4999999999999996,2.6145856541625268,4.685254805287215,0.8,0.7391448134346212,0.8495479907390189
300,600,900,0.7,0.6458824752950584,0.749060336215123,0.2,0.1586568589669413,0.24892892376778628,3.4999999999999996,2.7583309075267564,4.441091518995412,0.8,0.7510710762322137,0.8413431410330587
500,1000,1500,0.7,0.6584321959560773,0.7385180678593017,0.2,0.16728549897175743,0.23728910530517394,3.4999999999999996,2.9104353495932584,4.208992308216697,0.8,0.7627108946948261,0.8327145010282427
